Nombre Localidad,Nombre Recinto,Nombre Grada,Precio Base Localidad,Estado Localidad
Butaca 1,Recinto A,Grada Norte,10,disponible
Suelo 2,Recinto A,Grada Norte,44,disponible
Balcón 3,Recinto A,Grada Norte,48,disponible
Butaca 4,Recinto A,Grada Norte,42,disponible
Balcón 5,Recinto A,Grada Norte,19,disponible
Asiento 1,Recinto A,Grada Sur,48,disponible
Butaca 2,Recinto A,Grada Sur,46,disponible
Asiento 3,Recinto A,Grada Sur,17,disponible
Asiento 1,Recinto A,Grada Este,48,disponible
Suelo 2,Recinto A,Grada Este,27,disponible
Asiento 3,Recinto A,Grada Este,9,disponible
Balcón 4,Recinto A,Grada Este,31,disponible
Butaca 5,Recinto A,Grada Este,24,disponible
Balcón 6,Recinto A,Grada Este,42,disponible
Butaca 7,Recinto A,Grada Este,22,disponible
Suelo 8,Recinto A,Grada Este,36,disponible
Butaca 9,Recinto A,Grada Este,40,disponible
Asiento 10,Recinto A,Grada Este,6,disponible
Butaca 11,Recinto A,Grada Este,37,disponible
Butaca 12,Recinto A,Grada Este,16,disponible
Butaca 1,Recinto A,Grada Oeste,37,disponible
Asiento 2,Recinto A,Grada Oeste,32,disponible
Balcón 3,Recinto A,Grada Oeste,40,disponible
Suelo 4,Recinto A,Grada Oeste,14,disponible
Butaca 5,Recinto A,Grada Oeste,26,disponible
Suelo 6,Recinto A,Grada Oeste,33,disponible
Balcón 7,Recinto A,Grada Oeste,16,disponible
Suelo 8,Recinto A,Grada Oeste,21,disponible
Asiento 9,Recinto A,Grada Oeste,28,disponible
Suelo 10,Recinto A,Grada Oeste,32,disponible
Butaca 11,Recinto A,Grada Oeste,21,disponible
Balcón 12,Recinto A,Grada Oeste,18,disponible
Suelo 13,Recinto A,Grada Oeste,44,disponible
Asiento 14,Recinto A,Grada Oeste,7,disponible
Asiento 15,Recinto A,Grada Oeste,43,disponible
Suelo 16,Recinto A,Grada Oeste,24,disponible
Balcón 17,Recinto A,Grada Oeste,21,disponible
Suelo 18,Recinto A,Grada Oeste,29,disponible
Asiento 19,Recinto A,Grada Oeste,38,disponible
Suelo 20,Recinto A,Grada Oeste,44,disponible
Butaca 21,Recinto A,Grada Oeste,16,disponible
Asiento 22,Recinto A,Grada Oeste,20,disponible
Suelo 23,Recinto A,Grada Oeste,50,disponible
