Nombre Localidad,Nombre Recinto,Nombre Grada,Precio Base Localidad,Estado Localidad
Suelo 1,Recinto B,Grada Norte,49,disponible
Asiento 1,Recinto B,Grada Sur,45,disponible
Suelo 2,Recinto B,Grada Sur,15,disponible
Suelo 3,Recinto B,Grada Sur,36,disponible
Butaca 4,Recinto B,Grada Sur,10,disponible
Butaca 5,Recinto B,Grada Sur,13,disponible
Butaca 6,Recinto B,Grada Sur,41,disponible
Asiento 7,Recinto B,Grada Sur,19,disponible
Balcón 8,Recinto B,Grada Sur,32,disponible
Asiento 9,Recinto B,Grada Sur,11,disponible
Suelo 1,Recinto B,Grada Este,49,disponible
Balcón 2,Recinto B,Grada Este,15,disponible
Suelo 3,Recinto B,Grada Este,25,disponible
Balcón 4,Recinto B,Grada Este,32,disponible
Balcón 5,Recinto B,Grada Este,19,disponible
Suelo 6,Recinto B,Grada Este,20,disponible
Asiento 7,Recinto B,Grada Este,10,disponible
Balcón 8,Recinto B,Grada Este,28,disponible
Balcón 9,Recinto B,Grada Este,25,disponible
Suelo 10,Recinto B,Grada Este,50,disponible
Suelo 11,Recinto B,Grada Este,40,disponible
Asiento 12,Recinto B,Grada Este,50,disponible
Butaca 13,Recinto B,Grada Este,17,disponible
Butaca 14,Recinto B,Grada Este,26,disponible
Asiento 15,Recinto B,Grada Este,21,disponible
Balcón 16,Recinto B,Grada Este,10,disponible
Butaca 17,Recinto B,Grada Este,21,disponible
Balcón 18,Recinto B,Grada Este,29,disponible
Suelo 19,Recinto B,Grada Este,37,disponible
Balcón 20,Recinto B,Grada Este,16,disponible
Balcón 21,Recinto B,Grada Este,50,disponible
Suelo 22,Recinto B,Grada Este,50,disponible
Balcón 23,Recinto B,Grada Este,30,disponible
Balcón 24,Recinto B,Grada Este,36,disponible
Butaca 25,Recinto B,Grada Este,41,disponible
Balcón 26,Recinto B,Grada Este,11,disponible
Suelo 27,Recinto B,Grada Este,17,disponible
Balcón 28,Recinto B,Grada Este,7,disponible
Balcón 29,Recinto B,Grada Este,6,disponible
Suelo 30,Recinto B,Grada Este,35,disponible
Butaca 31,Recinto B,Grada Este,15,disponible
Butaca 32,Recinto B,Grada Este,33,disponible
Balcón 33,Recinto B,Grada Este,30,disponible
Balcón 34,Recinto B,Grada Este,27,disponible
Butaca 35,Recinto B,Grada Este,20,disponible
Suelo 36,Recinto B,Grada Este,6,disponible
Butaca 37,Recinto B,Grada Este,47,disponible
Asiento 38,Recinto B,Grada Este,19,disponible
Asiento 1,Recinto B,Grada Oeste,46,disponible
Asiento 2,Recinto B,Grada Oeste,18,disponible
Butaca 3,Recinto B,Grada Oeste,44,disponible
Asiento 4,Recinto B,Grada Oeste,8,disponible
Suelo 5,Recinto B,Grada Oeste,21,disponible
Butaca 6,Recinto B,Grada Oeste,49,disponible
Butaca 7,Recinto B,Grada Oeste,23,disponible
Balcón 8,Recinto B,Grada Oeste,28,disponible
Suelo 9,Recinto B,Grada Oeste,29,disponible
Butaca 10,Recinto B,Grada Oeste,42,disponible
Butaca 11,Recinto B,Grada Oeste,36,disponible
Balcón 12,Recinto B,Grada Oeste,29,disponible
Suelo 13,Recinto B,Grada Oeste,25,disponible
Asiento 14,Recinto B,Grada Oeste,17,disponible
Asiento 15,Recinto B,Grada Oeste,34,disponible
Asiento 16,Recinto B,Grada Oeste,7,disponible
Suelo 17,Recinto B,Grada Oeste,21,disponible
Suelo 18,Recinto B,Grada Oeste,37,disponible
Asiento 19,Recinto B,Grada Oeste,50,disponible
Butaca 20,Recinto B,Grada Oeste,12,disponible
Butaca 21,Recinto B,Grada Oeste,16,disponible
Butaca 22,Recinto B,Grada Oeste,18,disponible
Suelo 23,Recinto B,Grada Oeste,50,disponible
Suelo 24,Recinto B,Grada Oeste,43,disponible
Asiento 25,Recinto B,Grada Oeste,6,disponible
Balcón 26,Recinto B,Grada Oeste,48,disponible
Suelo 27,Recinto B,Grada Oeste,38,disponible
Suelo 28,Recinto B,Grada Oeste,25,disponible
Asiento 29,Recinto B,Grada Oeste,32,disponible
Butaca 30,Recinto B,Grada Oeste,16,disponible
Butaca 31,Recinto B,Grada Oeste,38,disponible
Asiento 32,Recinto B,Grada Oeste,38,disponible
Butaca 33,Recinto B,Grada Oeste,26,disponible
Asiento 34,Recinto B,Grada Oeste,29,disponible
Balcón 35,Recinto B,Grada Oeste,18,disponible
Butaca 36,Recinto B,Grada Oeste,32,disponible
Asiento 37,Recinto B,Grada Oeste,25,disponible
Asiento 38,Recinto B,Grada Oeste,20,disponible
Suelo 39,Recinto B,Grada Oeste,47,disponible
Butaca 40,Recinto B,Grada Oeste,17,disponible
Balcón 41,Recinto B,Grada Oeste,26,disponible
