Nombre Localidad,Nombre Recinto,Nombre Grada,Precio Base Localidad,Estado Localidad
Suelo 1,Recinto C,Grada Norte,33,disponible
Asiento 2,Recinto C,Grada Norte,41,disponible
Butaca 3,Recinto C,Grada Norte,18,disponible
Balcón 4,Recinto C,Grada Norte,39,disponible
Suelo 5,Recinto C,Grada Norte,18,disponible
Asiento 6,Recinto C,Grada Norte,39,disponible
Butaca 7,Recinto C,Grada Norte,35,disponible
Suelo 8,Recinto C,Grada Norte,42,disponible
Asiento 9,Recinto C,Grada Norte,40,disponible
Balcón 10,Recinto C,Grada Norte,29,disponible
Asiento 11,Recinto C,Grada Norte,10,disponible
Butaca 12,Recinto C,Grada Norte,49,disponible
Balcón 13,Recinto C,Grada Norte,32,disponible
Butaca 14,Recinto C,Grada Norte,16,disponible
Suelo 15,Recinto C,Grada Norte,18,disponible
Balcón 16,Recinto C,Grada Norte,35,disponible
Suelo 17,Recinto C,Grada Norte,44,disponible
Suelo 18,Recinto C,Grada Norte,14,disponible
Suelo 19,Recinto C,Grada Norte,39,disponible
Suelo 20,Recinto C,Grada Norte,27,disponible
Butaca 21,Recinto C,Grada Norte,34,disponible
Balcón 22,Recinto C,Grada Norte,25,disponible
Butaca 23,Recinto C,Grada Norte,16,disponible
Balcón 24,Recinto C,Grada Norte,44,disponible
Asiento 25,Recinto C,Grada Norte,19,disponible
Butaca 26,Recinto C,Grada Norte,13,disponible
Butaca 27,Recinto C,Grada Norte,18,disponible
Balcón 28,Recinto C,Grada Norte,27,disponible
Asiento 29,Recinto C,Grada Norte,36,disponible
Suelo 30,Recinto C,Grada Norte,8,disponible
Butaca 31,Recinto C,Grada Norte,29,disponible
Suelo 32,Recinto C,Grada Norte,48,disponible
Asiento 33,Recinto C,Grada Norte,7,disponible
Suelo 34,Recinto C,Grada Norte,13,disponible
Suelo 35,Recinto C,Grada Norte,43,disponible
Balcón 36,Recinto C,Grada Norte,31,disponible
Suelo 37,Recinto C,Grada Norte,22,disponible
Asiento 38,Recinto C,Grada Norte,19,disponible
Butaca 39,Recinto C,Grada Norte,22,disponible
Asiento 40,Recinto C,Grada Norte,11,disponible
Balcón 41,Recinto C,Grada Norte,50,disponible
Butaca 42,Recinto C,Grada Norte,11,disponible
Suelo 43,Recinto C,Grada Norte,43,disponible
Suelo 1,Recinto C,Grada Sur,35,disponible
Balcón 2,Recinto C,Grada Sur,18,disponible
Suelo 3,Recinto C,Grada Sur,36,disponible
Asiento 4,Recinto C,Grada Sur,29,disponible
Butaca 5,Recinto C,Grada Sur,23,disponible
Butaca 6,Recinto C,Grada Sur,30,disponible
Asiento 7,Recinto C,Grada Sur,19,disponible
Butaca 8,Recinto C,Grada Sur,31,disponible
Butaca 9,Recinto C,Grada Sur,15,disponible
Suelo 10,Recinto C,Grada Sur,36,disponible
Balcón 11,Recinto C,Grada Sur,38,disponible
Balcón 12,Recinto C,Grada Sur,14,disponible
Suelo 13,Recinto C,Grada Sur,33,disponible
Suelo 14,Recinto C,Grada Sur,37,disponible
Asiento 15,Recinto C,Grada Sur,22,disponible
Butaca 16,Recinto C,Grada Sur,31,disponible
Butaca 17,Recinto C,Grada Sur,27,disponible
Asiento 18,Recinto C,Grada Sur,50,disponible
Balcón 19,Recinto C,Grada Sur,26,disponible
Asiento 20,Recinto C,Grada Sur,7,disponible
Butaca 21,Recinto C,Grada Sur,44,disponible
Suelo 22,Recinto C,Grada Sur,16,disponible
Butaca 23,Recinto C,Grada Sur,39,disponible
Suelo 24,Recinto C,Grada Sur,5,disponible
Suelo 25,Recinto C,Grada Sur,39,disponible
Balcón 26,Recinto C,Grada Sur,6,disponible
Asiento 27,Recinto C,Grada Sur,42,disponible
Butaca 28,Recinto C,Grada Sur,18,disponible
Asiento 1,Recinto C,Grada Este,37,disponible
Asiento 2,Recinto C,Grada Este,32,disponible
Butaca 3,Recinto C,Grada Este,10,disponible
Asiento 4,Recinto C,Grada Este,9,disponible
Asiento 5,Recinto C,Grada Este,22,disponible
Suelo 6,Recinto C,Grada Este,8,disponible
Balcón 7,Recinto C,Grada Este,8,disponible
Butaca 8,Recinto C,Grada Este,36,disponible
Balcón 9,Recinto C,Grada Este,41,disponible
Suelo 10,Recinto C,Grada Este,23,disponible
Asiento 11,Recinto C,Grada Este,15,disponible
Butaca 12,Recinto C,Grada Este,26,disponible
Butaca 13,Recinto C,Grada Este,50,disponible
Butaca 14,Recinto C,Grada Este,18,disponible
Butaca 15,Recinto C,Grada Este,42,disponible
Suelo 16,Recinto C,Grada Este,48,disponible
Asiento 17,Recinto C,Grada Este,39,disponible
Suelo 18,Recinto C,Grada Este,28,disponible
Butaca 19,Recinto C,Grada Este,16,disponible
Asiento 20,Recinto C,Grada Este,31,disponible
Butaca 21,Recinto C,Grada Este,13,disponible
Balcón 22,Recinto C,Grada Este,24,disponible
Suelo 23,Recinto C,Grada Este,38,disponible
Asiento 24,Recinto C,Grada Este,36,disponible
Balcón 25,Recinto C,Grada Este,18,disponible
Asiento 26,Recinto C,Grada Este,28,disponible
Suelo 27,Recinto C,Grada Este,44,disponible
Suelo 28,Recinto C,Grada Este,27,disponible
Butaca 29,Recinto C,Grada Este,22,disponible
Asiento 30,Recinto C,Grada Este,25,disponible
Suelo 31,Recinto C,Grada Este,45,disponible
Asiento 32,Recinto C,Grada Este,16,disponible
Asiento 33,Recinto C,Grada Este,31,disponible
Asiento 34,Recinto C,Grada Este,30,disponible
Balcón 35,Recinto C,Grada Este,6,disponible
Butaca 36,Recinto C,Grada Este,26,disponible
Asiento 37,Recinto C,Grada Este,37,disponible
Balcón 38,Recinto C,Grada Este,31,disponible
Balcón 39,Recinto C,Grada Este,23,disponible
Butaca 40,Recinto C,Grada Este,17,disponible
Asiento 41,Recinto C,Grada Este,31,disponible
Balcón 42,Recinto C,Grada Este,18,disponible
Suelo 43,Recinto C,Grada Este,48,disponible
Suelo 44,Recinto C,Grada Este,42,disponible
Suelo 45,Recinto C,Grada Este,13,disponible
Butaca 1,Recinto C,Grada Oeste,23,disponible
Balcón 2,Recinto C,Grada Oeste,46,disponible
Balcón 3,Recinto C,Grada Oeste,38,disponible
Suelo 4,Recinto C,Grada Oeste,45,disponible
Butaca 5,Recinto C,Grada Oeste,22,disponible
Balcón 6,Recinto C,Grada Oeste,29,disponible
Suelo 7,Recinto C,Grada Oeste,14,disponible
Asiento 8,Recinto C,Grada Oeste,25,disponible
Butaca 9,Recinto C,Grada Oeste,45,disponible
Butaca 10,Recinto C,Grada Oeste,33,disponible
Balcón 11,Recinto C,Grada Oeste,34,disponible
Asiento 12,Recinto C,Grada Oeste,19,disponible
Balcón 13,Recinto C,Grada Oeste,11,disponible
Suelo 14,Recinto C,Grada Oeste,44,disponible
Balcón 15,Recinto C,Grada Oeste,26,disponible
Asiento 16,Recinto C,Grada Oeste,50,disponible
Suelo 17,Recinto C,Grada Oeste,43,disponible
Asiento 18,Recinto C,Grada Oeste,17,disponible
Asiento 19,Recinto C,Grada Oeste,34,disponible
Asiento 20,Recinto C,Grada Oeste,48,disponible
Butaca 21,Recinto C,Grada Oeste,17,disponible
Balcón 22,Recinto C,Grada Oeste,26,disponible
Butaca 23,Recinto C,Grada Oeste,7,disponible
Suelo 24,Recinto C,Grada Oeste,6,disponible
Butaca 25,Recinto C,Grada Oeste,46,disponible
Balcón 26,Recinto C,Grada Oeste,50,disponible
Suelo 27,Recinto C,Grada Oeste,26,disponible
Suelo 28,Recinto C,Grada Oeste,14,disponible
Suelo 29,Recinto C,Grada Oeste,46,disponible
Balcón 30,Recinto C,Grada Oeste,27,disponible
Asiento 31,Recinto C,Grada Oeste,10,disponible
