Espectaculo,Recinto,Fecha,Estado
(500) Days of Summer coktfss,Roberts Stadium afxlqpitkp,2025-12-28 00:00:00,abierto
(500) Days of Summer coktfss,Wildparkstadion sfhpnleaos,2026-08-23 00:00:00,abierto
(500) Days of Summer coktfss,Metropolitano de Lara uhbwlktrpp,2026-07-13 00:00:00,abierto
(500) Days of Summer coktfss,Waldo Stadium ohxmiiwtpv,2025-02-24 00:00:00,abierto
(500) Days of Summer coktfss,Hillsborough hvgnrwejpg,2025-03-24 00:00:00,abierto
(500) Days of Summer ocdtlmq;Thomas Jane,Memorial Stadium slfvryaugu,2025-01-21 00:00:00,abierto
(500) Days of Summer ocdtlmq;Thomas Jane,Stadion Dnipro ovuzeguhen,2026-10-16 00:00:00,abierto
(500) Days of Summer ocdtlmq;Thomas Jane,Philip II Arena utlcnjxdms,2027-01-27 00:00:00,abierto
(500) Days of Summer ocdtlmq;Thomas Jane,Autodromo di Monza gdkelartkz,2026-04-25 00:00:00,abierto
(500) Days of Summer ocdtlmq;Thomas Jane,Presidente Perón rvkdncyueh,2026-10-13 00:00:00,abierto
(500) Days of Summer prduude;Zooey Deschanel,Presidente Perón tpfwiuhyln,2027-08-24 00:00:00,abierto
(500) Days of Summer prduude;Zooey Deschanel,Mercedes-Benz Arena skbnioeewd,2026-04-12 00:00:00,abierto
(500) Days of Summer prduude;Zooey Deschanel,Estadio J.E. Romero mxyhbbbsfb,2025-02-19 00:00:00,abierto
(500) Days of Summer prduude;Zooey Deschanel,Jordan Hare Stadium llwoifjjcr,2026-09-06 00:00:00,abierto
(500) Days of Summer prduude;Zooey Deschanel,Universidad San Marcos gtcgunyjxj,2025-12-10 00:00:00,abierto
10 Cloverfield Lane nixvn;John Goodman,National Olympic kdsudksmbd,2027-01-28 00:00:00,abierto
10 Cloverfield Lane nixvn;John Goodman,National Sports Stadium vopesldoeu,2027-03-02 00:00:00,abierto
10 Cloverfield Lane nixvn;John Goodman,Portman Road ztqsxucjzn,2024-11-28 00:00:00,abierto
10 Cloverfield Lane nixvn;John Goodman,José Pinheiro Borda bldmmllipj,2024-09-14 00:00:00,abierto
10 Cloverfield Lane nixvn;John Goodman,UB Stadium tbdrftlhoy,2025-02-15 00:00:00,abierto
10 Years entpqca;Channing Tatum,Mercedes-Benz Superdome yeslymqjmf,2024-08-12 00:00:00,abierto
10 Years entpqca;Channing Tatum,Luis Pirata Fuente ivtreedtlr,2027-10-26 00:00:00,abierto
10 Years entpqca;Channing Tatum,Koning Boudewijn Stadion hfuvhypbrx,2024-11-11 00:00:00,abierto
10 Years entpqca;Channing Tatum,Dubai Autodrome ssrryqkgww,2025-10-20 00:00:00,abierto
10 Years entpqca;Channing Tatum,Georgia Dome nypsxlaadb,2026-12-10 00:00:00,abierto
10 Years jbbcftd,Ciudad de Vicente López ninorvvpif,2027-06-06 00:00:00,abierto
10 Years jbbcftd,Rynearson Stadium aevklhfbex,2024-02-13 00:00:00,abierto
10 Years jbbcftd,Sardar Patel Stadium vbtofrggmm,2026-05-14 00:00:00,abierto
10 Years jbbcftd,University Stadium vlvkrichwu,2026-01-09 00:00:00,abierto
10 Years jbbcftd,Ibrox Stadium odamubqzuj,2026-07-19 00:00:00,abierto
10 Years wweonqu,Estadio Panamericano gaqwkcbvgw,2024-07-07 00:00:00,abierto
10 Years wweonqu,Camp Randall Stadium pqdioeofaa,2025-08-25 00:00:00,abierto
10 Years wweonqu,Kensington Oval hxztdiaakk,2027-04-18 00:00:00,abierto
10 Years wweonqu,Stade de France nlachyvwpd,2025-07-04 00:00:00,abierto
10 Years wweonqu,Mercedes-Benz Superdome yeslymqjmf,2026-04-04 00:00:00,abierto
10 Years yefsrma;Thomas Jane,Páirc Uí Chaoimh mkzhftqige,2025-08-23 00:00:00,abierto
10 Years yefsrma;Thomas Jane,Hipódromo Argentino euywbgjkhf,2027-08-22 00:00:00,abierto
10 Years yefsrma;Thomas Jane,Estádio Roberto Santos knfofgqzbf,2026-09-23 00:00:00,abierto
10 Years yefsrma;Thomas Jane,Estadio Nueva Condomina krpmoycsir,2026-07-18 00:00:00,abierto
10 Years yefsrma;Thomas Jane,Arena do Grêmio vhhpknbiaw,2027-05-26 00:00:00,abierto
12 Years a Slave geytvzj;Thomas Jane,Hypo-Arena wzvryvtcxw,2025-11-03 00:00:00,abierto
12 Years a Slave geytvzj;Thomas Jane,Bangabandhu Stadium hkhivcbrtx,2025-02-13 00:00:00,abierto
12 Years a Slave geytvzj;Thomas Jane,Minute Maid Park tdfflxwfjc,2027-09-08 00:00:00,abierto
12 Years a Slave geytvzj;Thomas Jane,Estádio Nacional cyitjdhkeu,2025-07-05 00:00:00,abierto
12 Years a Slave geytvzj;Thomas Jane,Stadion Shakhtar vyhsjazcxa,2026-02-25 00:00:00,abierto
12 Years a Slave qghrbst,Abuja Stadium tjamfvnbuj,2026-06-04 00:00:00,abierto
12 Years a Slave qghrbst,Perak Stadium edfryfylhs,2025-09-13 00:00:00,abierto
12 Years a Slave qghrbst,McHale Park nfjvokbkte,2027-01-06 00:00:00,abierto
12 Years a Slave qghrbst,Woodbine Racetrack rcrengndmo,2026-02-10 00:00:00,abierto
12 Years a Slave qghrbst,Stade d'Honneur wlywafbnbk,2025-08-14 00:00:00,abierto
13 Hours jkipbvr;Thomas Jane,The Gabba tfjsuecmqp,2026-06-15 00:00:00,abierto
13 Hours jkipbvr;Thomas Jane,Holmenkollen Stadion kxsvaethct,2025-10-25 00:00:00,abierto
13 Hours jkipbvr;Thomas Jane,Kauffman Stadium mwjxlmnhfq,2024-01-06 00:00:00,abierto
13 Hours jkipbvr;Thomas Jane,Olimpico Metropolitano rjlmldjuyx,2026-06-03 00:00:00,abierto
13 Hours jkipbvr;Thomas Jane,Nashville Superspeedway mgdkyhtfgs,2025-03-20 00:00:00,abierto
13 Hours tajwe;John Krasinski,Oscar Alfredo Galvez wwrtqzsrxf,2027-02-09 00:00:00,abierto
13 Hours tajwe;John Krasinski,Infineon Raceway qjcbkynytu,2025-08-15 00:00:00,abierto
13 Hours tajwe;John Krasinski,Estadio Benito Villamarín otkglbhfmu,2025-06-12 00:00:00,abierto
13 Hours tajwe;John Krasinski,Aggie Memorial Stadium fkutnmeufv,2024-08-09 00:00:00,abierto
13 Hours tajwe;John Krasinski,Coca-Cola Park tlusqhrfbe,2027-09-08 00:00:00,abierto
13 Hours tnjnhnm,Rockingham_Speedway ujwlizepcb,2024-10-26 00:00:00,abierto
13 Hours tnjnhnm,Waldo Stadium ohxmiiwtpv,2025-07-26 00:00:00,abierto
13 Hours tnjnhnm,Stade National nuehunjapy,2024-02-25 00:00:00,abierto
13 Hours tnjnhnm,Léopold Sédar Senghor mjtmapylta,2027-01-10 00:00:00,abierto
13 Hours tnjnhnm,Jinnah Sport Stadium rktpeewshw,2024-11-20 00:00:00,abierto
13 Hours vhjcngm;Thomas Jane,Hipódromo da Gávea qngvpfggay,2026-01-20 00:00:00,abierto
13 Hours vhjcngm;Thomas Jane,King Abdul Aziz qjjdgyyvms,2025-05-23 00:00:00,abierto
13 Hours vhjcngm;Thomas Jane,Ascot Racecourse omoiqrlvtt,2024-04-20 00:00:00,abierto
13 Hours vhjcngm;Thomas Jane,Safeco Field qviclkbtki,2026-09-24 00:00:00,abierto
13 Hours vhjcngm;Thomas Jane,Schauinsland-Reisen-Arena vkizaansva,2026-04-03 00:00:00,abierto
1408 bfdmcrk;Thomas Jane,Koshien Stadium fbfycwcrnf,2027-12-03 00:00:00,abierto
1408 bfdmcrk;Thomas Jane,CHIO Hauptstadion wxsvwziblm,2026-02-14 00:00:00,abierto
1408 bfdmcrk;Thomas Jane,Monumental David Arellano frhjlsvksz,2027-02-20 00:00:00,abierto
1408 bfdmcrk;Thomas Jane,Las Vegas Motor Speedway bjrvojyagu,2027-05-16 00:00:00,abierto
1408 bfdmcrk;Thomas Jane,National Sports Stadium vopesldoeu,2024-04-03 00:00:00,abierto
1408 oxyzrov;John Cusack,McMahon Stadium vttnomzegs,2026-07-06 00:00:00,abierto
1408 oxyzrov;John Cusack,Azadi Stadium anarmtzzuj,2024-05-13 00:00:00,abierto
1408 oxyzrov;John Cusack,José do Rego Maciel ixdunzkyws,2026-01-22 00:00:00,abierto
1408 oxyzrov;John Cusack,Universidad San Marcos jmtkkeqegu,2027-11-21 00:00:00,abierto
1408 oxyzrov;John Cusack,Century Lotus Stadium cyuibbjcot,2024-02-04 00:00:00,abierto
17 Again cblvthu;Thomas Jane,Lambeau Field kokxqcibte,2026-10-17 00:00:00,abierto
