nombre_grada,nombre_recinto,num_localidades,precio_grada
Grada Oeste Tribuna,11 June Stadium qsyrtgefxv,21,15
Grada Amarilla Tribuna,11 June Stadium qsyrtgefxv,16,10
Grada Azul Tribuna,11 June Stadium qsyrtgefxv,15,95
Grada Este Sector,11 June Stadium xqkwpmyrgm,4,49
Grada Amarilla Sector,AAMI Park fuyivgglqq,35,18
Grada Norte Sector,AAMI Park fuyivgglqq,20,34
Grada Roja Tribuna,AAMI Park fuyivgglqq,50,27
Grada Oeste Tribuna,AAMI Park iyxdunnbtf,15,28
Grada Verde Sector,AAMI Park iyxdunnbtf,48,97
Grada Amarilla Sector,AAMI Park iyxdunnbtf,40,75
Grada Verde Sector,AAMI Park rcwijzzerq,38,48
Grada Verde Sector,AAMI Park xtnaufevgv,7,65
Grada Norte Zona,AAMI Park xtnaufevgv,31,76
Grada Roja Grada,AAMI Stadium fpkwnnjznl,45,62
Grada Este Sector,AAMI Stadium fpkwnnjznl,30,45
Grada Azul Sector,AAMI Stadium gwbdmtgeyu,26,71
Grada Amarilla Sector,AAMI Stadium lkcbiolphu,38,10
Grada Oeste Sector,AAMI Stadium lkcbiolphu,14,25
Grada Blanca Sector,AAMI Stadium lkcbiolphu,24,57
Grada Roja Sector,AAMI Stadium wtovqelemv,11,54
Grada Sur Sector,AAMI Stadium ztyraqvcsh,45,65
Grada Blanca Sector,ABSA Stadium clswejtqnk,7,54
Grada Negra Sector,ABSA Stadium clswejtqnk,1,10
Grada Verde Sector,ABSA Stadium rgvxotabwa,23,15
Grada Este Sector,ABSA Stadium wlsclhoctl,7,44
Grada Norte Sector,ABSA Stadium wlsclhoctl,35,41
Grada Sur Tribuna,ABSA Stadium wlsclhoctl,39,87
Grada Este Sector,Abuja Stadium caoocqvcmk,46,22
Grada Verde Tribuna,Abuja Stadium caoocqvcmk,36,34
Grada Sur Sector,Abuja Stadium tjamfvnbuj,25,11
Grada Amarilla Sector,Abuja Stadium tjamfvnbuj,23,81
Grada Verde Tribuna,Abuja Stadium vahknehwsj,49,15
Grada Sur Sector,Abuja Stadium vahknehwsj,29,93
Grada Sur Tribuna,ACA-VDCA Stadium lzgscmvlns,30,14
Grada Este Sector,ACA-VDCA Stadium lzgscmvlns,28,66
Grada Verde Sector,ACA-VDCA Stadium zoxjwcemwa,16,39
Grada Oeste Sector,ACA-VDCA Stadium zoxjwcemwa,26,44
Grada Blanca Tribuna,ACA-VDCA Stadium zoxjwcemwa,24,59
Grada Este Sector,Adelaide Oval jbidmcijtc,36,60
Grada Roja Sector,Adelaide Oval jbidmcijtc,34,84
